sample,min,q25,median,q75,max,mean,sd,mean_correlation,corr_z,outlier
GSM329771,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560805,0.19803184,0.8569852174587413,1.483107198980375,False
GSM329772,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560758,0.19803184,0.8461803559961859,1.0104221317384254,False
GSM329773,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560725,0.19803202,0.7958440025546096,-1.191664650558802,False
GSM329774,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560835,0.19803199,0.8523001590151139,1.2781478690405041,False
GSM329775,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560805,0.19803265,0.8159733167761297,-0.31105861231319726,False
GSM329776,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560716,0.1980322,0.8164814640904552,-0.2888284663485175,False
GSM329777,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560823,0.19803277,0.8069425465892648,-0.7061317215629719,False
GSM329778,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.19803171,0.84273279083323,0.8595999692775498,False
GSM329779,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856072,0.19803225,0.8352733155211539,0.5332669939129172,False
GSM329780,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560656,0.19803314,0.8495528986525933,1.1579622513267103,False
GSM329781,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856084,0.1980325,0.8262307360463027,0.1376772585032222,False
GSM329782,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560817,0.19803225,0.808800204195967,-0.6248639502195276,False
GSM329783,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856082,0.19803262,0.8339107949280765,0.4736602011382684,False
GSM329784,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560966,0.19803263,0.8535300159209972,1.3319509646442793,False
GSM329785,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560814,0.19803281,0.8417050395606822,0.8146384784656742,False
GSM329786,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560787,0.19803211,0.8137377919629051,-0.40885710795538194,False
GSM329787,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560805,0.19803225,0.8539053486848186,1.3483708135539447,False
