sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM330096,3,3,0.9663437008857727
GSM330097,3,3,0.9621843099594116
GSM330098,3,3,0.9638354778289795
GSM330099,3,3,0.9650198817253113
GSM330100,3,3,0.9680212140083313
GSM330101,3,3,0.9610293507575989
GSM330102,3,3,0.9642085433006287
GSM330103,3,3,0.9634554386138916
GSM330104,3,3,0.9629690051078796
GSM330105,3,3,0.9623750448226929
GSM330106,3,3,0.9643962383270264
GSM330107,3,3,0.9617583751678467
GSM330108,3,3,0.959790050983429
GSM330109,3,3,0.9617701768875122
GSM330110,3,3,0.9629684686660767
GSM330111,3,3,0.9639900326728821
GSM330112,3,3,0.9641683101654053
GSM330113,3,3,0.9635339379310608
GSM330114,3,3,0.9653575420379639
GSM330115,3,3,0.9644167423248291
GSM330116,3,3,0.9634168148040771
GSM330117,3,3,0.964449942111969
GSM330118,3,3,0.9603736400604248
GSM330119,3,3,0.9636004567146301
GSM330120,3,3,0.9625824689865112
GSM330121,3,3,0.9628317356109619
GSM330122,3,3,0.9654285311698914
GSM330123,3,3,0.9616482853889465
GSM330124,3,3,0.9592750072479248
GSM330125,3,3,0.9644030332565308
GSM330126,3,3,0.8712846636772156
GSM330127,3,3,0.9680212140083313
GSM330128,3,3,0.9619581699371338
GSM330129,3,3,0.9642783999443054
GSM330130,3,3,0.9648236036300659
GSM330131,3,3,0.9624224901199341
GSM330132,3,3,0.961526095867157
GSM330133,3,3,0.9633893966674805
GSM330134,3,3,0.9605777263641357
GSM330135,3,3,0.9639031887054443
GSM330136,3,3,0.9596611261367798
GSM330137,3,3,0.9597614407539368
GSM330138,3,3,0.9640222191810608
GSM330139,3,3,0.9676177501678467
GSM330140,3,3,0.9628282785415649
GSM330141,3,3,0.9633744955062866
GSM330142,3,3,0.9608424305915833
GSM330143,3,3,0.9656956791877747
GSM330144,3,3,0.961987316608429
GSM330145,3,3,0.964688241481781
GSM330146,3,3,0.9662595391273499
GSM330147,3,3,0.9633780717849731
GSM330148,3,3,0.9626384377479553
GSM330149,3,3,0.9636114835739136
GSM330150,3,3,0.962077260017395
GSM330151,3,3,0.9621185660362244
GSM330152,3,3,0.8921859264373779
GSM330153,3,3,0.965840220451355
GSM330154,3,3,0.9619881510734558
GSM330155,3,3,0.9641492366790771
GSM330156,3,3,0.9663621187210083
GSM330157,3,3,0.9607291221618652
GSM330158,3,3,0.9656758904457092
GSM330159,5,4,0.9275453090667725
GSM330160,3,3,0.9607291221618652
GSM330161,3,3,0.9671643972396851
GSM330162,3,3,0.9677615761756897
GSM330163,3,3,0.9668368101119995
GSM330164,3,3,0.9613929986953735
GSM330165,3,3,0.9120250940322876
GSM330166,3,3,0.9650108218193054
GSM330167,3,3,0.963726282119751
GSM330168,3,3,0.9612752199172974
GSM330169,3,3,0.9633976221084595
GSM330170,3,3,0.9624702334403992
GSM330171,3,3,0.9643885493278503
GSM330172,1,2,0.9248120188713074
GSM330173,3,3,0.9642957448959351
GSM330174,3,3,0.9668692350387573
GSM330175,3,3,0.9602584838867188
GSM330176,3,3,0.9618791341781616
GSM330177,3,3,0.9650743007659912
GSM330178,3,3,0.9633362889289856
GSM330179,3,3,0.964591920375824
GSM330180,3,3,0.9649314284324646
GSM330181,3,3,0.9622552990913391
GSM330182,3,3,0.963020384311676
GSM330183,3,3,0.9608715176582336
GSM330184,3,3,0.9652064442634583
GSM330185,3,3,0.9645670652389526
GSM330186,3,3,0.9671785831451416
GSM330187,3,3,0.9640310406684875
GSM330188,3,3,0.9598358869552612
GSM330189,3,3,0.9613886475563049
GSM330190,3,3,0.9651533961296082
GSM330191,3,3,0.9622633457183838
GSM330192,3,3,0.9649624228477478
GSM330193,3,3,0.9609920978546143
GSM330194,3,3,0.9630113244056702
GSM330195,3,3,0.9633521437644958
GSM330196,3,3,0.9654669761657715
GSM330197,3,3,0.9632476568222046
GSM330198,3,3,0.966307520866394
GSM330199,3,3,0.9654215574264526
GSM330200,3,3,0.9634935855865479
