sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329461,-14.893075794946823,32.0480330427493,10.854520667410544,-0.1636990660884463,12.356903225973692,-8.7710923148532,-0.4883411261072034,-20.126211170187975,16.024961225996357,-6.721081184647683,3,3,0.9632139801979064
GSM329462,6.303155996461501,24.875610212798954,-8.955722366485544,0.3591864660431723,9.916565357329283,-14.20214802980258,7.375257651270513,-17.766934991686227,11.434467154690935,-3.8658939197267173,3,3,0.9597294330596924
GSM329463,-12.75118864071572,44.90415632829185,-18.41907399244628,-11.061657044225521,8.481652829493765,-9.65723481730074,-5.176241802932837,-3.1990252340775496,22.46875132764468,-4.8850577656780345,3,3,0.9596216082572936
GSM329464,-5.177938197841188,38.48849889096584,-7.174244646219812,-8.405616475041176,5.405031383607094,-19.454600726342207,-8.342441783138177,-11.30805293115535,21.91044239049614,-8.923702941627655,3,3,0.9617362022399902
GSM329465,-13.136195920845454,23.697095630427146,-32.75820047763036,8.931534423866848,8.79630338222847,0.8406809930322392,7.8077726393922795,-1.1991579033031363,19.5391951569425,9.919001388310846,3,3,0.8517665863037109
GSM329466,5.954582479115693,12.692038358252178,14.752440465895454,-11.870435763920838,17.35652544309163,2.50108621210002,-2.907593381027528,-6.8899883444610746,13.570066180902044,7.486428031069539,4,1,0.7114611268043518
GSM329467,-1.463261260239004,32.27795220575116,-12.537433529827807,-7.625089465422751,0.46739054348468584,-37.389384023719536,5.812713033709984,-9.936693343753516,24.40750395321318,3.5866942085970797,3,3,0.9657062888145448
GSM329468,-15.311115323600157,35.50618552554899,20.161156045357764,0.10821105739391901,6.52428117197308,-14.017395847292374,-0.7450362151724572,-15.543522750353262,19.281898232398287,-6.292538004585597,3,3,0.9641261100769044
GSM329469,-24.95020766391092,22.38825271055516,4.142297519043199,3.6059319740054105,0.23677206568395265,1.2240972869203217,-3.967345391058543,-16.730513180151288,16.070016683898796,-4.9305952009539356,3,3,0.9674215912818908
GSM329470,-6.993337269354325,36.09939137087682,-17.623428590962973,-1.6774538374490253,14.003369602507409,-7.769832290060895,3.014066754598012,-6.198559680197524,21.489534340261756,-2.810938708572383,3,3,0.9638237953186036
GSM329471,-3.4513866061551814,16.926645792583226,21.751283805559403,1.785687287005401,6.908015269024714,-29.928430454414922,12.83860214740046,-9.533693161978576,13.101058135644326,-4.19336678464558,3,3,0.9621541500091552
GSM329472,-9.047276637557026,21.10026404164092,12.326563646338773,-3.7375920812105825,10.502420900891476,-7.876054767979144,-2.3262951346981815,-20.28664087267844,10.98160562426524,-12.209908560114044,3,3,0.9626509547233582
GSM329473,-27.44757004383231,37.68339083253696,-24.429222950191075,-0.0632498215518828,-3.0413655052392636,0.8235151755905258,-0.6267973051215296,-9.101258348168034,24.180221940254032,-6.737259901384032,3,3,0.9602404236793518
GSM329474,-17.874416333900143,42.336819378608595,-20.381882291693948,-7.996262226947449,13.578457350409739,-5.368343759627102,0.39505131387261755,0.35164493064159474,24.587116453846733,8.4196839429211,3,3,0.962081015110016
GSM329475,-8.337546864882885,26.36520268516366,11.310979501721443,-11.452721096115013,19.630990509222126,-4.076901625838359,-4.075469330972106,-19.05586612954757,16.022309845171996,3.2026632410830578,3,3,0.9645845890045166
