gene,representative_probe,n_probes_for_gene,mean_expression
ERAP1,209788_s_at,6,0.5172422
EPB41L4B,220161_s_at,6,0.22554146
TNPO2,221506_s_at,5,0.53331745
MECOM,221884_at,5,0.14928013
ZNRF1,223382_s_at,5,0.48466334
ZSCAN30,228125_at,5,0.36733058
SEC14L2,232894_at,5,0.24410497
MED23,218846_at,5,0.54078364
ABCC9,1557374_at,5,0.16720387
MEAK7,236078_at,5,0.20377101
KIDINS220,212163_at,5,0.56880885
MTG2,226606_s_at,5,0.3467597
MTF2,203345_s_at,5,0.61835164
ERBB3,1563253_s_at,5,0.24015544
EPB41,225051_at,5,0.72243875
FOSL2,225262_at,5,0.53383857
SLC16A1,202236_s_at,5,0.4043412
TNXB,217413_s_at,5,0.22145817
KIF6,1556233_s_at,5,0.21750635
MCM4,222036_s_at,5,0.59073395
FNIP1,228768_at,5,0.569914
SLC12A4,209402_s_at,5,0.2579254
SLC22A7,1555553_a_at,5,0.2255697
KDM6B,41386_i_at,5,0.5232498
TOX4,201684_s_at,5,0.5197385
KLF6,1555832_s_at,5,0.7919643
TMPO,224944_at,5,0.71320754
SDCCAG8,227785_at,5,0.41120118
EP400,212375_at,5,0.44942468
EPS8L1,218778_x_at,5,0.2835329
EPPK1,208156_x_at,5,0.20250036
ANKRD44,226641_at,5,0.55383074
SNX24,222716_s_at,5,0.24318036
ERAP2,227462_at,5,0.5327385
MTHFR,226929_at,5,0.45167974
ABCC3,239217_x_at,5,0.21855529
ABLIM2,1567622_at,5,0.23335187
MCPH1,228778_at,5,0.4184192
MDM4,225740_x_at,5,0.7374328
CEP70,224150_s_at,5,0.3973156
CEP68,212675_s_at,5,0.5737079
MTO1,233665_x_at,5,0.535382
LOC283788,228247_at,5,0.41139483
ZNF160,214715_x_at,5,0.6870087
MTDH,212251_at,5,0.760418
MSRB3,225782_at,5,0.3853715
KDM5B,211202_s_at,5,0.5556464
KDM5A,202040_s_at,5,0.6515299
PSMG4,228217_s_at,5,0.563314
KLHDC10,210111_s_at,5,0.5525522
KLF9,203542_s_at,5,0.51517504
KLF7,204334_at,5,0.5386077
KLHL24,221986_s_at,5,0.56273806
KLHL22,49329_at,5,0.40473837
CEP57,203494_s_at,5,0.62501067
CEP43,214124_x_at,5,0.48910725
CEP128,244033_at,5,0.33479613
KCNJ15,210119_at,5,0.25281614
CIMAP1B,238327_at,5,0.40212542
TMEM63A,228549_at,5,0.48709974
CIRBP,200810_s_at,5,0.7867287
MVB12B,52975_at,5,0.38351446
EPHA4,229374_at,5,0.2259157
GPALPP1,223606_x_at,5,0.4574588
SON,226465_s_at,5,0.7893655
ANKS1B,227440_at,5,0.12364267
SNX19,202358_s_at,5,0.38518554
SORBS1,207436_x_at,5,0.5657641
GOLGA8A,208798_x_at,5,0.5956676
KCTD15,222668_at,5,0.36297804
PTBP3,224617_at,5,0.7233909
SLC25A36,201919_at,5,0.6884662
MCM3AP,212269_s_at,5,0.53037596
AP1S3,1555733_s_at,5,0.2380268
GOPC,225022_at,5,0.47001472
MUC4,235055_x_at,5,0.27853474
MCTP2,229021_at,5,0.49732715
MEIOC,1566480_x_at,5,0.24834149
TRAF3IP2-AS1,243553_x_at,5,0.32965276
TPM3,222976_s_at,5,0.82405394
TPD52,201690_s_at,5,0.5393041
TPCN2,242554_at,5,0.35995978
KLHL5,232297_at,5,0.4705947
TMEM33,225492_at,5,0.5607419
TRA2A,204658_at,5,0.65836555
KLK4,1555737_a_at,5,0.28106
CLCN5,226274_at,5,0.3147033
CLCN4,214769_at,5,0.2205124
TMEM50B,225182_at,5,0.5827331
TPR,201730_s_at,5,0.6786009
CEACAM1,209498_at,5,0.39774367
CELF4,223653_x_at,5,0.13608654
GPATCH4,224634_at,5,0.47792944
ENOX2,32042_at,5,0.3225823
SOD2,215223_s_at,5,0.663549
AP5M1,218139_s_at,5,0.56597835
ZNF131,221842_s_at,5,0.6085661
CDS2,228456_s_at,5,0.592364
TRAK1,214924_s_at,5,0.5661368
PROM2,1562378_s_at,5,0.31455287
TPT1-AS1,227710_s_at,5,0.30840084
TPT1,212869_x_at,5,0.94118136
MESD,224675_at,5,0.5805416
ZNF827,243618_s_at,5,0.5230942
SOS1,212780_at,5,0.5094739
MYOZ3,1553070_a_at,5,0.19226167
ENSA,202596_at,5,0.7454313
MRTFA,212748_at,5,0.5145075
MRS2,218538_s_at,5,0.41633603
ANKHD1,208773_s_at,5,0.641127
SNX13,227031_at,5,0.40886247
KCNAB1,210471_s_at,5,0.22575483
KCNIP3,1555694_a_at,5,0.18565492
CLN8,219340_s_at,5,0.39587253
PTP4A1,200732_s_at,5,0.68909454
PTPRC,212588_at,5,0.7500275
CLIC5,219866_at,5,0.23684368
KRAS,204009_s_at,5,0.6723626
PTPN21,222092_at,5,0.11967484
KANSL1L,239682_at,5,0.33920375
CDKN1C,213348_at,5,0.4252405
KANK1,213005_s_at,5,0.36487684
ZNF814,60794_f_at,5,0.3206005
MYO10,1554026_a_at,5,0.23716858
MYO5A,227761_at,5,0.53722644
SP110,208012_x_at,5,0.6223087
SNRPN,201522_x_at,5,0.65994924
SNX29,225624_at,5,0.48484597
SDK2,242064_at,5,0.3995217
MYCN,209757_s_at,5,0.3219137
MYL12A,201318_s_at,5,0.81258744
MYLK3,1562411_at,5,0.21556425
MYLK,224823_at,5,0.37129733
MBNL2,203640_at,5,0.50034857
SLC25A27,1554161_at,5,0.13520166
FRAS1,220910_at,5,0.16683891
KAT6B,212462_at,5,0.60187644
PRKCA,213093_at,5,0.41917923
PRKAR2A,204842_x_at,5,0.6393177
KREMEN1,227250_at,5,0.20119256
MRPS22,219220_x_at,5,0.6064839
ANKRD13C,223418_x_at,5,0.41333053
SCML4,1569225_a_at,5,0.312985
ZMAT3,228315_at,5,0.5326975
API5,201687_s_at,5,0.5841296
PRKD3,218236_s_at,5,0.5300634
KPNA4,225268_at,5,0.65578824
PVT1,1558290_a_at,5,0.5697568
PTPRN2,203029_s_at,5,0.24944457
SLC11A2,203124_s_at,5,0.465184
ZNF780B,242969_at,5,0.26363394
ABTB1,229164_s_at,5,0.5244586
EMC1,212396_s_at,5,0.39292306
ZFYVE16,203651_at,5,0.43259346
AQP4,210906_x_at,5,0.109271765
APOE,212884_x_at,5,0.43702814
ZNF24,203247_s_at,5,0.61728686
ZNF8,227508_at,5,0.3930618
FHL1,201540_at,5,0.6026637
TRIM13,203659_s_at,5,0.587681
TRIM38,235084_x_at,5,0.5885523
CDC42,208728_s_at,5,0.7031548
PRKAA2,238489_at,5,0.23357639
PRKAA1,209799_at,5,0.5001986
PRIM2,205628_at,5,0.35479856
CDC42SE1,218157_x_at,5,0.7018732
PUS7L,238565_at,5,0.37482294
CD58,205173_x_at,5,0.6487073
PRDM2,203057_s_at,5,0.6673025
PWWP2A,226720_at,5,0.50785756
NADSYN1,232946_s_at,5,0.5814375
SAR1B,226742_at,5,0.5359316
APC,203525_s_at,5,0.4321528
ELOA,202818_s_at,5,0.5141468
ELMOD2,226502_at,5,0.44407207
PURB,225120_at,5,0.56426835
PURA,204020_at,5,0.54364705
TMEM107,239824_s_at,5,0.4456285
JAK1,201648_at,5,0.6967859
JAG1,209099_x_at,5,0.38402393
CDC14A,205288_at,5,0.36563474
PRKAG2,222582_at,5,0.41516718
PRDM15,230777_s_at,5,0.43413645
TMED4,224680_at,5,0.53786606
SBF1,39835_at,5,0.5238282
SEC63,201916_s_at,5,0.67046994
MZF1,40569_at,5,0.54170054
NAALAD2,233815_at,5,0.13262008
SP3,238035_at,5,0.67170495
SAV1,234491_s_at,5,0.447876
SCAF4,222310_at,5,0.50911546
CNOT6L,226153_s_at,5,0.6771189
CNOT4,203291_at,5,0.43523514
CDC42BPA,214464_at,5,0.2922758
MEX3C,218247_s_at,5,0.68309337
MBD1,203353_s_at,5,0.62182605
SLC2A13,227176_at,5,0.26538113
SKIL,225227_at,5,0.514067
SKIC8,221532_s_at,5,0.63153327
FGF14,233185_at,5,0.22304235
ANK3,209442_x_at,5,0.25970152
GNB5,204000_at,5,0.46930653
SBNO1,230407_at,5,0.4913009
FGD6,219901_at,5,0.2198885
CD36,209555_s_at,5,0.4567359
CDC20B,1564674_a_at,5,0.18082725
CD59,200985_s_at,5,0.55458105
COBLL1,203642_s_at,5,0.37300876
TMC5,219580_s_at,5,0.23019232
ZNF782,228156_at,5,0.48183212
PPP3CC,32541_at,5,0.53197557
ITGBL1,1557080_s_at,5,0.20424742
SLC30A5,218989_x_at,5,0.48876965
ACOX1,227962_at,5,0.37675074
ZNF775,225909_at,5,0.4494966
ZNF771,219781_s_at,5,0.21508504
ITPKB,203723_at,5,0.44687244
QPRT,242414_at,5,0.42720485
COL1A1,217430_x_at,5,0.31986225
ITGB8,211488_s_at,5,0.1981775
ITGB4,204990_s_at,5,0.21143824
COL27A1,225293_at,5,0.28848147
GPRIN3,240173_at,5,0.28232154
ZEB1,208078_s_at,5,0.60057384
ANKRD10,223251_s_at,5,0.67636234
TRIQK,225603_s_at,5,0.37520245
SLC29A2,204717_s_at,5,0.2477876
ITFG1,1556151_at,5,0.5655119
PPP2R1B,202883_s_at,5,0.4449226
LAMA4,216081_at,5,0.26540828
TRPM7,223324_s_at,5,0.41164696
CCPG1,221156_x_at,5,0.44727865
TM2D1,213883_s_at,5,0.57803357
RAB30,228003_at,5,0.34628108
COL12A1,234951_s_at,5,0.1907439
ARHGAP27,225618_at,5,0.54428935
NBN,202907_s_at,5,0.58003235
NCBP3,218896_s_at,5,0.4805119
NCAPH2,205086_s_at,5,0.42392936
NAPEPLD,238722_x_at,5,0.31264263
NAP1L4,201414_s_at,5,0.5388146
SPAG9,212470_at,5,0.52780235
TM9SF3,222399_s_at,5,0.6539708
PPP1R12B,201957_at,5,0.35424888
ACSS1,224882_at,5,0.52054393
METTL6,1553689_s_at,5,0.30999222
ZNF75D,213659_at,5,0.34104565
FCRL5,224406_s_at,5,0.30821744
SIKE1,228026_at,5,0.45632917
CCNG2,202769_at,5,0.70134944
TRUB1,226339_at,5,0.48647848
COMT,208818_s_at,5,0.6238986
IRF2BP2,224569_s_at,5,0.817169
ARHGAP5,233849_s_at,5,0.39996305
ARHGAP35,229394_s_at,5,0.5166577
GNAQ,202615_at,5,0.65042937
NAV3,1552658_a_at,5,0.16191973
RAB11FIP4,225739_at,5,0.39439142
TM4SF1,209386_at,5,0.2352744
CCNY,224647_at,5,0.64651984
LARP4,212714_at,5,0.45618182
RAB3GAP2,202373_s_at,5,0.5767361
LDB3,216887_s_at,5,0.18483216
RAB28,227003_at,5,0.54499686
PPM1K,226773_at,5,0.5683333
LDLRAD4,207996_s_at,5,0.42784184
PPFIBP1,203735_x_at,5,0.4324468
MAX,209332_s_at,5,0.7231631
MAU2,227465_at,5,0.6046947
SEC16B,1555289_at,5,0.24558969
NCS1,230146_s_at,5,0.22728054
ARID5B,212614_at,5,0.5544751
EIF4EBP2,208770_s_at,5,0.5547964
EIF4E,201437_s_at,5,0.57497776
GRIA3,208032_s_at,5,0.13463214
FCRL2,1563674_at,5,0.39300078
TLE4,204872_at,5,0.6566269
RAB27A,209515_s_at,5,0.590681
TLE1,228284_at,5,0.53464234
RAB3B,205925_s_at,5,0.15101664
IPO5,211954_s_at,5,0.59928143
NDE1,227249_at,5,0.5799241
NDUFA10,217860_at,5,0.6311953
NCOR2,207760_s_at,5,0.6631875
NCOR1,200854_at,5,0.5425849
LPCAT4,40472_at,5,0.3752869
SEC62,208942_s_at,5,0.7500997
PPA2,220741_s_at,5,0.61183465
PPHLN1,225073_at,5,0.6668664
CCDC57,227783_at,5,0.42893964
CCDC50,225331_at,5,0.5054335
LEPROT,202377_at,5,0.6054245
TSPAN3,200972_at,5,0.667579
INSR,213792_s_at,5,0.45414168
CCDC40,220593_s_at,5,0.25106448
INTS4,233193_x_at,5,0.5471889
IQCA1,1562130_at,5,0.25056386
IPP,219843_at,5,0.26776004
ACTR3,213101_s_at,5,0.7942991
ZNF710,39891_at,5,0.41903782
ZNF709,242028_at,5,0.3780339
EHD1,209039_x_at,5,0.5869158
ZFAND5,210275_s_at,5,0.77213275
ZEB2,203603_s_at,5,0.52553886
EIF3M,202231_at,5,0.78632075
ZNF688,213527_s_at,5,0.43752316
TIMM23,225535_s_at,5,0.71284133
RAD1,204461_x_at,5,0.5709637
INIP,223559_s_at,5,0.55318534
CPD,201941_at,5,0.47125977
RABGAP1L,213982_s_at,5,0.5879978
RABEP1,225092_at,5,0.48437583
INTS11,217994_x_at,5,0.6095773
FYB1,211795_s_at,5,0.5766993
CCDC169,1570153_at,5,0.1723484
POLR2J4,216242_x_at,5,0.5963228
LIFR,229185_at,5,0.17638765
SPATA6L,1554707_at,5,0.21433815
SAMD14,1559995_at,5,0.26496056
SPDEF,214403_x_at,5,0.34935158
GRIN1,210782_x_at,5,0.29558405
LIMS1,212687_at,5,0.64417964
LIMD1,222762_x_at,5,0.5604984
RAB7A,211961_s_at,5,0.6096418
RALGAPA1,213049_at,5,0.51974946
THRA,1316_at,5,0.38260633
FBXW2,209630_s_at,5,0.5781342
MAPK1IP1L,212643_at,5,0.7860778
MASP1,210680_s_at,5,0.23845123
MFAP3L,1569300_at,5,0.2609474
SPN,206056_x_at,5,0.60519224
ETV1,217061_s_at,5,0.18719119
MRPL41,227186_s_at,5,0.61241025
AMBRA1,219141_s_at,5,0.44743806
ADAM12,204943_at,5,0.17730455
RALGPS2,227224_at,5,0.50681823
RALGPS1,1555452_at,5,0.36543342
CREBRF,225957_at,5,0.5569415
POLDIP3,212100_s_at,5,0.5891371
TUG1,222244_s_at,5,0.7010661
PNN,210183_x_at,5,0.7980997
TUSC3,209228_x_at,5,0.14343877
ILF3,211375_s_at,5,0.67003655
FCAR,207674_at,5,0.3311834
RANBP2,201713_s_at,5,0.64270926
RARB,205080_at,5,0.1980443
CRLS1,223978_s_at,5,0.516651
RARA,203749_s_at,5,0.49900433
NEK6,223158_s_at,5,0.42343584
EFCAB13,1553626_a_at,5,0.26833722
ZC3H7B,206169_x_at,5,0.4176224
NEDD9,202149_at,5,0.45142883
ARL10,228843_at,5,0.34730852
ARK2N,226406_at,5,0.5564862
ARIH2,227932_at,5,0.61227596
THBS1,201110_s_at,5,0.37489262
RALGAPA2,225499_at,5,0.45559606
RAP2A,225585_at,5,0.4956993
RASEF,1553185_at,5,0.67930865
TFPI,210664_s_at,5,0.30983636
CBFA2T2,207625_s_at,5,0.4369196
ESYT2,224698_at,5,0.6394628
NFATC2,226991_at,5,0.47649664
NFATC1,211105_s_at,5,0.4669193
ARMH1,238365_s_at,5,0.655863
NDUFS1,203039_s_at,5,0.5409074
NEK1,213328_at,5,0.4453136
ARMCX4,227444_at,5,0.31448415
TUT7,236155_at,5,0.5172283
PMS1,213677_s_at,5,0.547245
TGOLN2,212043_at,5,0.77441925
CRTAP,1555889_a_at,5,0.6373114
PLPBP,209384_at,5,0.55910206
CRYZL1,226151_x_at,5,0.49677473
TGFB2,228121_at,5,0.21385208
TFRC,208691_at,5,0.78614336
CSHL1,208293_x_at,5,0.20814504
IL1RN,212657_s_at,5,0.44551125
RAPGEF2,203097_s_at,5,0.658416
MARCKS,201669_s_at,5,0.5951495
MARCHF7,202653_s_at,5,0.67133206
ZBTB38,225512_at,5,0.4383176
SPTBN4,224297_s_at,5,0.31174204
RUBCN,212733_at,5,0.57945645
GTDC1,219770_at,5,0.41913792
SEMA6A,223449_at,5,0.23694639
GLP1R,208390_s_at,5,0.2630064
CASR,240886_at,5,0.19236481
CASZ1,220015_at,5,0.4525252
CBL,225231_at,5,0.5888277
TWF1,201745_at,5,0.5716215
CSMD1,1562330_s_at,5,0.20653825
CSPP1,227105_at,5,0.46410993
CSH1,208356_x_at,5,0.19258007
MRPL30,224971_at,5,0.59343934
ETV5,203348_s_at,5,0.33783227
GSK3B,226191_at,5,0.5475095
SPON1,209436_at,5,0.26914594
SPPL3,224639_at,5,0.51954305
CASC2,1564372_s_at,5,0.13729386
G2E3,223256_at,5,0.41925445
CSNK1E,202332_at,5,0.56263584
TXLNGY,223646_s_at,5,0.33986253
ADAMTS9-AS2,1562295_at,5,0.17324476
FBXO11,222119_s_at,5,0.6170657
CASP1,209970_x_at,5,0.5879862
CASK,211208_s_at,5,0.4166443
LINC00662,1558256_at,5,0.29933727
UBASH3B,238587_at,5,0.5172297
CANX,200068_s_at,5,0.75714886
SPTLC2,203127_s_at,5,0.632746
SPTAN1,215235_at,5,0.5472763
NFX1,202584_at,5,0.48891827
ETFBKMT,1563475_s_at,5,0.16577691
PLCE1,1566739_at,5,0.28029513
PKNOX1,221883_at,5,0.3485592
LINC00689,243261_at,5,0.31288376
TERF2,203611_at,5,0.536452
U2SURP,212058_at,5,0.6704186
CALHM6,229390_at,5,0.66598225
CALML4,64408_s_at,5,0.35046896
FBXL20,226842_at,5,0.51103413
MAP4K4,218181_s_at,5,0.56634736
MAPK8IP3,213178_s_at,5,0.63236415
MAPK8,226048_at,5,0.5166765
FBXO28,202272_s_at,5,0.50249034
FBXO22,225734_at,5,0.39374694
LINC00674,227567_at,5,0.52364594
PKP4,201928_at,5,0.4124036
CTDSPL,201906_s_at,5,0.32483932
EXOC5,225084_at,5,0.56307775
EZH1,32259_at,5,0.56875956
ZAN,224265_s_at,5,0.2558978
ASAP1,224791_at,5,0.62427074
ASAH1,213702_x_at,5,0.7482776
ZBTB44,226148_at,5,0.67977154
ZBTB43,227991_x_at,5,0.49450007
SPRING1,234983_at,5,0.50024456
CTSB,200839_s_at,5,0.6849649
IGF1R,225330_at,5,0.45180893
IGF1,211577_s_at,5,0.17128281
IGHM,209374_s_at,5,0.71829116
IGHD,213674_x_at,5,0.5143545
CAMK2D,225019_at,5,0.40082735
CAMK2B,34846_at,5,0.37885872
CALU,200757_s_at,5,0.4885328
UBE2D4,51774_s_at,5,0.4690821
PITPNC1,219155_at,5,0.53990495
GTPBP1,219357_at,5,0.59019536
GULP1,223837_at,5,0.17122196
NFIX,227400_at,5,0.34166443
EXOC7,212034_s_at,5,0.5965509
ALG13,222808_at,5,0.63039786
CTNNA1,210844_x_at,5,0.5832377
CTLA4,231794_at,5,0.2911603
UBE2I,213535_s_at,5,0.7232388
CACTIN,214892_x_at,5,0.4390815
CUX1,214743_at,5,0.6270018
GABRA2,207014_at,5,0.124820895
GAD2,206780_at,5,0.15435624
ADARB1,203865_s_at,5,0.35345358
GYPA,211821_x_at,5,0.38702893
RSU1,201980_s_at,5,0.58173746
SRGAP2,227649_s_at,5,0.4257333
DYNLRB1,217918_at,5,0.72352767
ASCL1,213768_s_at,5,0.15613224
ASMTL-AS1,244875_at,5,0.33988416
MAP2K7,226053_at,5,0.52892387
ADAMTS9,220287_at,5,0.22259869
FBLN1,207835_at,5,0.27110532
CADM4,229335_at,5,0.14559458
CADM2,1552752_a_at,5,0.2287605
CADM1,209030_s_at,5,0.29971117
UBE4B,202317_s_at,5,0.5284473
CTTN,201059_at,5,0.3133383
MPHOSPH9,221965_at,5,0.5194014
NIPBL,213918_s_at,5,0.6385406
NIPAL3,225876_at,5,0.37951073
YWHAZ,200639_s_at,5,0.81152266
NLRP1,210113_s_at,5,0.4146631
RBM48,221596_s_at,5,0.49963623
RBM47,222496_s_at,5,0.42724505
SHB,1557458_s_at,5,0.23202102
ADCY1,215348_at,5,0.18509261
FAS,204781_s_at,5,0.48541155
GALNT5,236129_at,5,0.18325153
CYB561,217200_x_at,5,0.41200304
PIGL,213889_at,5,0.34759828
GLIPR1,214085_x_at,5,0.6169255
RTF2,234926_s_at,5,0.623911
DYRK1A,209033_s_at,5,0.7681576
YTHDC1,212455_at,5,0.72947687
CACNA1G,211315_s_at,5,0.17941579
TCAIM,1555906_s_at,5,0.4045205
PICALM,212506_at,5,0.63628936
PHLDB2,225688_s_at,5,0.26122653
UBN2,225445_at,5,0.43535775
TCAF1,204403_x_at,5,0.60116684
CACNA1A,214933_at,5,0.3976993
UBE3C,201817_at,5,0.45800826
LINC00957,1564207_at,5,0.36423317
UBR4,211950_at,5,0.6503889
MIER3,228961_at,5,0.49953204
ZNF638,213775_x_at,5,0.5955884
RSBN1,222788_s_at,5,0.59103537
NOTCH2,202443_x_at,5,0.60145056
NPAS2,205459_s_at,5,0.20125417
ALDH6A1,221589_s_at,5,0.45004794
FAF1,224217_s_at,5,0.5583226
MGST1,224918_x_at,5,0.49680316
FARP1,201910_at,5,0.27009
TBX1,207662_at,5,0.20195451
PHF20,206567_s_at,5,0.55580145
REL,235242_at,5,0.6546433
RECQL5,221686_s_at,5,0.31400403
RECK,216153_x_at,5,0.5380209
ID4,209293_x_at,5,0.30228856
UBTF,225982_at,5,0.5561345
FARP2,225652_at,5,0.4190411
UCKL1,218533_s_at,5,0.5708756
PGM2L1,229553_at,5,0.4636871
PHC3,226508_at,5,0.6747754
CYP3A4,205998_x_at,5,0.3996032
ATG10,223677_at,5,0.31558195
ATP2A3,213036_x_at,5,0.7020066
ATF7,228829_at,5,0.42946663
SRP72,208801_at,5,0.7347859
PHF3,217952_x_at,5,0.6269005
PHTF2,209780_at,5,0.5491349
UNC5C,240958_at,5,0.14145567
TASOR2,218331_s_at,5,0.5465621
RERE,200940_s_at,5,0.5642008
TBC1D16,1554701_a_at,5,0.25126868
HYCC1,227239_at,5,0.47792625
CYP4A11,211231_x_at,5,0.19581804
C6orf89,225729_at,5,0.49049383
MIB2,226644_at,5,0.42311123
SH3BP2,209370_s_at,5,0.50051737
MORN1,213755_s_at,5,0.2824619
ALB,1568589_at,5,0.1501729
SRSF10,206095_s_at,5,0.69386005
SRRT,222047_s_at,5,0.76422995
DTYMK,1553984_s_at,5,0.51211655
DTX3,235721_at,5,0.31531742
SLC4A4,210739_x_at,5,0.27236602
UGGT1,231968_at,5,0.5907323
PHACTR2,227947_at,5,0.44715053
HUWE1,207783_x_at,5,0.8551091
PGAP1,220576_at,5,0.34154782
HSPD1,200807_s_at,5,0.794563
DAAM1,216060_s_at,5,0.46629536
PEX13,235093_at,5,0.4243655
PERP,222392_x_at,5,0.23729879
C1orf21,223125_s_at,5,0.31287965
PDLIM4,214174_s_at,5,0.27457032
PDK3,228959_at,5,0.53728175
TAGAP,229723_at,5,0.7073242
TAF9B,226037_s_at,5,0.4835868
TAF6L,213209_at,5,0.32473463
RRP12,216913_s_at,5,0.48576206
NPIPB3,211996_s_at,5,0.7705455
SEMA6D,220574_at,5,0.1825278
SEPTIN2,200015_s_at,5,0.7519627
GLCCI1,225706_at,5,0.5820932
LRRC8C,223533_at,5,0.5238438
LRRFIP2,218364_at,5,0.47855675
PECAM1,208982_at,5,0.6548622
DAZAP2,200794_x_at,5,0.8323768
USF3,227435_at,5,0.5637697
NR3C1,201865_x_at,5,0.73771816
SSH2,226080_at,5,0.53833896
DPH5,219590_x_at,5,0.55132854
RPUSD3,1555916_at,5,0.47919142
H3-3A,213828_x_at,5,0.8920523
GAS5,224741_x_at,5,0.8203011
MIPOL1,1570052_at,5,0.08324433
MAGIX,1563318_s_at,5,0.29795182
ADGRV1,223582_at,5,0.12566005
ZNF568,1568900_a_at,5,0.23457655
TAF8,229412_at,5,0.40440902
DCAF5,224703_at,5,0.5600621
USP25,220419_s_at,5,0.57262874
USP22,200083_at,5,0.6941028
USP31,227256_at,5,0.29051653
SEPSECS,227982_at,5,0.38266128
SSR1,200891_s_at,5,0.7778956
DCAF1,204377_s_at,5,0.43489456
USP36,227093_at,5,0.52014047
PDCD4,212593_s_at,5,0.69560665
PDE4A,204735_at,5,0.4582475
USP48,220079_s_at,5,0.67553246
USP47,221518_s_at,5,0.6142638
USP42,226176_s_at,5,0.5359924
C18orf54,229442_at,5,0.27536365
RHBDD1,233164_x_at,5,0.40284044
GATA4,230855_at,5,0.22413757
MINK1,214246_x_at,5,0.60918367
DCTN5,209232_s_at,5,0.4936287
PCDHGC3,211066_x_at,5,0.3872793
VAPA,208780_x_at,5,0.781797
DDX17,208718_at,5,0.79789495
DDX11,208159_x_at,5,0.5632095
NRF1,204651_at,5,0.44610837
HPS1,203308_x_at,5,0.5288305
PDCD6,203415_at,5,0.59373444
PCGF5,227935_s_at,5,0.64210564
PCNX2,229202_at,5,0.39481407
PDCD2,213581_at,5,0.56396097
PCMTD1,226119_at,5,0.56476694
BTF3L4,225976_at,5,0.5994629
BUB1,209642_at,5,0.35455894
VCAN,221731_x_at,5,0.5206089
BTRC,224471_s_at,5,0.3835927
DCLRE1C,219678_x_at,5,0.6855383
SYT7,231025_at,5,0.18821985
DDHD1,225971_at,5,0.46963924
HOOK3,226395_at,5,0.4571181
HOXB-AS3,230743_at,5,0.22735344
SLC6A15,239352_at,5,0.13529952
SFT2D1,225849_s_at,5,0.6477057
GAS7,202192_s_at,5,0.5483672
RPLP0,211720_x_at,5,0.8831148
AVPR1A,242680_at,5,0.16140148
LUZP1,1558173_a_at,5,0.5730032
ZNF397,228927_at,5,0.3408546
ZNF396,1554985_at,5,0.2450722
MAF,209348_s_at,5,0.35782677
SLC7A1,212295_s_at,5,0.5870098
RHOB,212099_at,5,0.6791412
RIMKLB,229344_x_at,5,0.55509996
SYNE2,202761_s_at,5,0.52083635
SYNE1,209447_at,5,0.4437465
SYN2,210247_at,5,0.25489897
FAHD2A,222056_s_at,5,0.501849
GIT2,204982_at,5,0.5737271
EZR,208623_s_at,5,0.71018547
NSMAF,203269_at,5,0.59224343
DPY19L1,212792_at,5,0.3226155
ST3GAL2,217650_x_at,5,0.45653468
RPL35A,225190_x_at,5,0.88359547
BTNL9,230992_at,5,0.3102338
PCDH7,210273_at,5,0.19475085
SF3B1,201071_x_at,5,0.808287
SEZ6L2,238406_x_at,5,0.33174813
SLC7A8,216092_s_at,5,0.28966838
SFTPC,38691_s_at,5,0.26194906
VASH1,203940_s_at,5,0.33274636
BTBD7,224945_at,5,0.44524503
PATL1,225466_at,5,0.53928876
PARVB,37965_at,5,0.4222858
WWOX,219077_s_at,5,0.45026845
NUB1,1569030_s_at,5,0.5881051
AVIL,233333_x_at,5,0.4059295
AKAP8L,218064_s_at,5,0.5352542
LSM14B,219653_at,5,0.35564762
FAM13A,202973_x_at,5,0.42290473
SYDE1,44702_at,5,0.36525324
VPS13D,212323_s_at,5,0.42779654
SLC9A7,226550_at,5,0.5072057
LYRM2,227712_at,5,0.553123
RIN3,60471_at,5,0.6123533
HNRNPA1,200016_x_at,5,0.8807803
PARD3B,1553190_s_at,5,0.23698923
RIT1,209882_at,5,0.5093299
HMGB1,200680_x_at,5,0.8475067
RIOK3,202130_at,5,0.7519643
SFPQ,214016_s_at,5,0.77316725
GDF11,216860_s_at,5,0.34792185
DENND5B,228551_at,5,0.34832326
VPS35,217727_x_at,5,0.6769254
PAIP1,209063_x_at,5,0.5945384
RPL13A,210646_x_at,5,0.9396593
RPL31,200963_x_at,5,0.9442802
RPL3,201217_x_at,5,0.91647303
NUMA1,200747_s_at,5,0.59799546
ST8SIA4,230836_at,5,0.4003317
ST7L,230079_at,5,0.37216428
STAM2,209649_at,5,0.42426634
PALM2AKAP2,226694_at,5,0.632706
PAPOLG,222839_s_at,5,0.4682406
BPTF,207186_s_at,5,0.6445145
BLVRA,211729_x_at,5,0.5554467
BLTP3B,213118_at,5,0.47465962
VSIG10,226485_at,5,0.35168827
SUGP2,214092_x_at,5,0.63307285
MMP28,224207_x_at,5,0.24851704
MOBP,207659_s_at,5,0.22222714
NUP210,213947_s_at,5,0.55101675
DOCK1,203187_at,5,0.25862232
HLA-DOA,226878_at,5,0.5330606
SUPT20H,226330_s_at,5,0.5623981
SUN1,212074_at,5,0.5901756
DENR,231896_s_at,5,0.69044113
SETD5,221806_s_at,5,0.60108376
AGFG1,218091_at,5,0.61063594
MLX,213708_s_at,5,0.5722545
RPL22,221775_x_at,5,0.8644869
LNPEP,225176_at,5,0.6045864
