gene,representative_probe,n_probes_for_gene,mean_expression
DGCR5,228804_at,6,0.21264625
BMP2K,59644_at,6,0.49556464
OGT,209240_at,6,0.76651627
WDR27,235298_at,6,0.3483102
BCLAF1,201084_s_at,6,0.7699156
SIRT5,219185_at,6,0.389186
MCAM,211042_x_at,6,0.5251352
TMEM132A,216721_at,6,0.22316583
CNIH4,223993_s_at,6,0.6640252
CDH11,207173_x_at,6,0.17049281
TRIM2,202342_s_at,6,0.2053582
SUB1,212857_x_at,6,0.8072361
DHX30,212674_s_at,6,0.5486632
AGPAT3,225440_at,6,0.44936475
SET,200630_x_at,6,0.80281204
RNASET2,217983_s_at,6,0.78801656
BNC2,230722_at,6,0.26063788
BPNT2,224743_at,6,0.49829412
PHLDA1,217996_at,6,0.39433944
TBCD,211052_s_at,6,0.47099066
C5orf24,224876_at,6,0.6051008
ICA1,210547_x_at,6,0.32125962
HYDIN,1554907_a_at,6,0.2022964
TBL1X,213400_s_at,6,0.4611249
RBM8A,222443_s_at,6,0.6465801
RBMS1,215127_s_at,6,0.67447585
RBMS2,225776_at,6,0.30982965
RBPMS,209487_at,6,0.21751237
BICD1,1554020_at,6,0.39251152
ORAI2,1558426_x_at,6,0.62352854
SMAD2,203075_at,6,0.5937996
HERC4,225988_at,6,0.4992199
WDR33,222763_s_at,6,0.5735739
BCL2L14,1552841_s_at,6,0.13651752
LMNA,212086_x_at,6,0.4925734
NUP50,213682_at,6,0.680439
PTPN2,213136_at,6,0.6744586
FOXO3,224891_at,6,0.70138454
BCAP29,225677_at,6,0.49091303
HECTD1,224481_s_at,6,0.67075807
SMG1,224842_at,6,0.69062847
LUC7L3,208835_s_at,6,0.7463163
GH1,208068_x_at,6,0.3249333
HECTD4,211034_s_at,6,0.52438486
LMBR1,242035_at,6,0.35662845
WNK2,229547_s_at,6,0.25074774
WSB1,201296_s_at,6,0.7413546
SERPINB13,211362_s_at,6,0.17058101
WAC,222390_at,6,0.7622692
DICER1,213229_at,6,0.61672395
SMCHD1,1558747_at,6,0.67214686
UBE2W,222657_s_at,6,0.48503
CADPS,1568604_a_at,6,0.17194453
FBRSL1,225703_at,6,0.6048549
SLC39A8,209267_s_at,6,0.61297065
SHANK2,213307_at,6,0.1882304
CACNA1E,240650_at,6,0.16014747
CACNB2,207776_s_at,6,0.21498707
PIEZO2,219602_s_at,6,0.17895697
UBE3B,212403_at,6,0.48557544
FGF18,231382_at,6,0.23302309
PPIL2,217407_x_at,6,0.37809843
LARP1B,226750_at,6,0.46512002
LARP4B,208954_s_at,6,0.47589424
TSHZ2,235815_at,6,0.29088536
B4GALT1,201883_s_at,6,0.5882247
NSD2,209054_s_at,6,0.53223073
NSFL1C,232520_s_at,6,0.63021207
ATP6V0A2,229572_at,6,0.4328781
NTRK2,207152_at,6,0.25694054
NRG1,208232_x_at,6,0.24903762
ZNF81,234111_at,6,0.40111732
ACACB,1552615_at,6,0.3987359
JMJD1C,221763_at,6,0.6946006
KPNB1,213507_s_at,6,0.7353345
KRR1,203203_s_at,6,0.5929178
PRKCB,209685_s_at,6,0.72376716
CDH6,210601_at,6,0.22129518
LST1,214574_x_at,6,0.67746824
SERP2,240667_at,6,0.15045387
AIG1,223136_at,6,0.41816792
AK2,212174_at,6,0.5823677
LSAMP,229244_at,6,0.14469005
AZI2,218043_s_at,6,0.47869155
DOCK9,212538_at,6,0.32736972
AURKAIP1,225552_x_at,6,0.6754178
IRGQ,1555833_a_at,6,0.4970219
COPS8,202141_s_at,6,0.63973707
UBE2D3,200668_s_at,6,0.8062637
TCL6,219840_s_at,6,0.19097392
IGFBP5,203425_s_at,6,0.25573102
MAP2K5,211370_s_at,6,0.3765689
SLC44A1,224596_at,6,0.6028807
FBXO3,218432_at,6,0.45013103
ATP9B,214934_at,6,0.45222092
AVL9,212474_at,6,0.4814362
NRXN1,237535_x_at,6,0.17990652
SEPTIN7P14,242305_at,6,0.39274728
SRSF3,208672_s_at,6,0.83168125
RSF1,222540_s_at,6,0.6197096
SRPK2,203181_x_at,6,0.5742988
PTPN11,212610_at,6,0.68001324
SLC11A1,210423_s_at,6,0.4068811
MCL1,200797_s_at,6,0.8292748
KPNA1,202059_s_at,6,0.5357814
XPNPEP3,226501_at,6,0.4194896
RPRD1A,225953_at,6,0.5077594
AKR1C1,216594_x_at,6,0.36536968
ZNF395,218149_s_at,6,0.61196095
NR2F2,209121_x_at,6,0.13992928
ATP2B2,216120_s_at,6,0.16182381
ATP11A,230875_s_at,6,0.5545325
SSX2IP,203016_s_at,6,0.4166371
SSBP2,203787_at,6,0.5809238
PRMT2,221564_at,6,0.5277653
ATM,212672_at,6,0.538404
GK,207387_s_at,6,0.30863586
MR1,235352_at,6,0.48329103
SREK1,212721_at,6,0.6670042
SRGAP1,1569269_s_at,6,0.16024254
NLN,234762_x_at,6,0.70441794
YY1,200047_s_at,6,0.7595026
NKAPD1,218314_s_at,6,0.45148405
MPRIP,212197_x_at,6,0.615139
MPZL1,201874_at,6,0.43285912
SEPTIN6,212414_s_at,6,0.6911311
ATP11B,212536_at,6,0.5714013
DTWD1,236649_at,6,0.37474832
NOL4L,225224_at,6,0.5231635
NOS1,207309_at,6,0.29052797
CLEC7A,221698_s_at,6,0.452506
KMT2C,222415_at,6,0.60943985
FBXL18,227500_at,6,0.269587
CTBP2,201220_x_at,6,0.5988961
CACUL1,225192_at,6,0.52673185
UBE2J1,222435_s_at,6,0.69565845
TSC22D2,204094_s_at,6,0.56434643
PPM1L,228108_at,6,0.27458426
METTL26,227378_x_at,6,0.56290114
ACVR1B,213198_at,6,0.5119199
MATR3,214363_s_at,6,0.81666684
FTCD,233741_at,6,0.27843472
PLEKHA8,233943_x_at,6,0.31449792
IGLJ3,214677_x_at,6,0.7825489
GABRB3,229724_at,6,0.16011214
KMT2D,227527_at,6,0.6463573
GSPT1,215438_x_at,6,0.68662393
ESR2,210780_at,6,0.2266947
SNCA,204466_s_at,6,0.5396584
SQSTM1,201471_s_at,6,0.66032445
GUCY1A2,230665_at,6,0.16947322
NFYA,204108_at,6,0.45372987
NFYC,202215_s_at,6,0.48832056
ASXL1,244519_at,6,0.54716367
ASXL2,218659_at,6,0.5389599
AMACR,209425_at,6,0.31131017
EXOSC3,227916_x_at,6,0.44768032
SMIM7,219097_x_at,6,0.54281074
RUNX2,232231_at,6,0.5059728
GTSE1,211040_x_at,6,0.6419233
ZC3H14,204216_s_at,6,0.49990648
CLIP1,201975_at,6,0.54283065
MAPT,203928_x_at,6,0.24533768
ADAMTSL1,229585_at,6,0.14969869
RBBP4,210371_s_at,6,0.6696747
CARD14,220599_s_at,6,0.20410812
CAMK2G,208095_s_at,6,0.74165714
CAMTA1,225692_at,6,0.66597086
CCDC88A,219387_at,6,0.5810062
IQCH,239813_at,6,0.20647693
LCP2,205269_at,6,0.6279172
LEPR,209894_at,6,0.3650241
NFATC3,225139_at,6,0.55711335
ASB4,217228_s_at,6,0.15924515
SPG7,214494_s_at,6,0.5930225
GSN,200696_s_at,6,0.6207306
NENF,218407_x_at,6,0.56768435
ZBTB7A,226554_at,6,0.62116593
PRPF40A,218053_at,6,0.71297616
GNA11,213944_x_at,6,0.36528787
LRATD1,234331_s_at,6,0.1605143
SAP30L,219129_s_at,6,0.51205426
ZNF333,1569251_a_at,6,0.32074544
SELENOH,228332_s_at,6,0.7737097
EDA,211130_x_at,6,0.3081372
ARPP21,1556599_s_at,6,0.27276263
ARNT,218221_at,6,0.40737653
NEBL,216882_s_at,6,0.27370754
ARMC8,219094_at,6,0.49234778
ARMC9,1568691_at,6,0.1904211
GRIK2,1563754_at,6,0.15685932
SLC13A3,230686_s_at,6,0.21005765
KCNJ5,211304_x_at,6,0.2948244
NFATC2IP,229235_at,6,0.6062215
NAV2,222598_s_at,6,0.23557495
SARDH,210063_at,6,0.23149423
PTMA,211921_x_at,6,0.90181136
TPM4,235094_at,6,0.6031526
LGALS8,208933_s_at,6,0.58389884
RARS2,225264_at,6,0.56170344
FXR1,201637_s_at,6,0.7163811
CAST,212586_at,6,0.64340085
PLIN5,241368_at,6,0.2858561
CSRNP3,235017_s_at,6,0.17929533
SLC35E1,220796_x_at,6,0.68878967
CRIPT,227942_s_at,6,0.5247793
POLH,233852_at,6,0.31359434
LINC00205,226995_at,6,0.35153872
CLASP2,212306_at,6,0.43727362
TMEM259,225247_at,6,0.507435
NAA15,219158_s_at,6,0.5612884
SCAMP1,212416_at,6,0.580307
ELP2,231713_s_at,6,0.5326626
GPR161,232350_x_at,6,0.27790657
EMSY,222806_s_at,6,0.4165764
ENAH,222433_at,6,0.2729217
EHF,232360_at,6,0.16537769
EIF5,208705_s_at,6,0.78409135
EIF3B,208688_x_at,6,0.6646663
ARIH1,201880_at,6,0.60544693
ARHGEF40,58780_s_at,6,0.39544642
SAMHD1,235529_x_at,6,0.56545985
NCOA3,207700_s_at,6,0.5473523
ZFHX3,226137_at,6,0.40216872
ARHGEF28,1554003_at,6,0.23852825
NCAM1,227394_at,6,0.30354044
ARHGAP24,230802_at,6,0.4109711
EIF5B,201024_x_at,6,0.6318099
ANAPC5,200098_s_at,6,0.7391352
ANKRD11,238538_at,6,0.6271221
THSD4,226506_at,6,0.2583728
PNISR,212176_at,6,0.7446073
PLXDC2,226865_at,6,0.3717264
PPM1A,203966_s_at,6,0.65641135
FUS,200959_at,6,0.71775293
MARCHF6,201736_s_at,6,0.69077224
SIK3,213034_at,6,0.575103
LDLR,202068_s_at,6,0.50352997
TTC17,224849_at,6,0.59062403
ZNF704,223366_at,6,0.282345
SP100,202864_s_at,6,0.6529233
NADK,208919_s_at,6,0.62924755
ABHD2,225337_at,6,0.49854833
TNFRSF25,219423_x_at,6,0.356601
CHRM3,242488_at,6,0.1712461
CFTR,217026_at,6,0.111284286
EPS15L1,222113_s_at,6,0.42264813
SNX5,229980_s_at,6,0.7328385
TNRC6A,234734_s_at,6,0.5223442
TNRC6C,222820_at,6,0.36740825
SLC1A2,208389_s_at,6,0.19444916
FLT1,232809_s_at,6,0.42415005
SEC22C,225460_at,6,0.56069905
EMP1,201324_at,6,0.4052441
SCN8A,235969_at,6,0.16547406
MYNN,224206_x_at,6,0.49878126
LIG3,229861_at,6,0.46488735
TTN,208195_at,6,0.32319832
EPHB2,210651_s_at,6,0.30746287
ERC1,226049_at,6,0.4464553
MTAP,231984_at,6,0.31238535
MTHFSD,218879_s_at,6,0.31615278
EPOR,396_f_at,6,0.42691025
ZXDC,225964_at,6,0.49002454
GPATCH2,219078_at,6,0.40183043
ANTXR1,227660_at,6,0.24999982
CEP89,1560599_a_at,6,0.2599669
CEP41,225484_at,6,0.4297643
TPM1,210987_x_at,6,0.44312432
CEP152,239413_at,6,0.49739
MYH14,219946_x_at,6,0.21604508
GPLD1,215554_at,6,0.25885436
